transaction_id,category,price,transaction_date,shipping_method
1001,toys,5000000.0,2025-01-01,Standard
1002,clothing,61.6921873168326,2025-01-02,Standard
1003,home,233.701939536626,2025-01-03,Express
1004,toys,117.03581423624846,2025-01-04,Standard
1005,clothing,214.08987445647944,2025-01-05,Unknown
1006,home,442.80732687024545,2025-01-06,Standard
1007,home,168.92906029258424,2025-01-07,Standard
1008,toys,69.82309780332994,2025-01-08,Standard
1009,electronics,184.5859406577177,2025-01-09,Standard
1010,clothing,454.3459363574195,2025-01-10,Unknown
1011,toys,2000000.0,2025-01-11,Express
1012,clothing,327.36815906526755,2025-01-12,Express
1013,clothing,10.254984727704752,2025-01-13,Express
1014,home,182.7587396037428,2025-01-14,Standard
1015,clothing,159.34281649743423,2025-01-15,Express
1016,clothing,90.68136804004143,2025-01-16,Standard
1017,home,271.70381549396654,2025-01-17,Express
1018,home,247.56668596590177,2025-01-18,Standard
1019,electronics,349.29365611623246,2025-01-19,Standard
1020,clothing,142.01204356127553,2025-01-20,Standard
1021,home,247.7871383953947,2025-01-21,Standard
1022,home,247.7871383953947,2025-01-22,Standard
1023,electronics,247.7871383953947,2025-01-23,Standard
1024,clothing,247.7871383953947,2025-01-24,Unknown
1025,home,247.7871383953947,2025-01-25,Standard
1026,electronics,247.7871383953947,2025-01-26,Standard
1027,clothing,247.7871383953947,2025-01-27,Express
1028,electronics,247.7871383953947,2025-01-28,Overnight
1029,home,247.7871383953947,2025-01-29,Standard
1030,home,247.7871383953947,2025-01-30,Standard
1031,clothing,82.56259567716594,2025-01-31,Express
1032,electronics,498.8928376739815,2025-02-01,Standard
1033,electronics,140.72269699488965,2025-02-02,Unknown
1034,clothing,488.54132835799993,2025-02-03,Overnight
1035,clothing,211.40813652593332,2025-02-04,Standard
1036,toys,26.19485912126871,2025-02-05,Standard
1037,electronics,179.08491153307466,2025-02-06,Unknown
1038,clothing,320.83215890366824,2025-02-07,Express
1039,clothing,343.5456712618357,2025-02-08,Express
1040,toys,270.15794582539684,2025-02-09,Express
1041,home,247.7871383953947,2025-02-10,Express
1042,home,247.7871383953947,2025-02-11,Unknown
1043,toys,247.7871383953947,2025-02-12,Unknown
1044,home,247.7871383953947,2025-02-13,Overnight
1045,clothing,247.7871383953947,2025-02-14,Express
1046,clothing,128.65836975593868,2025-02-15,Overnight
1047,toys,403.53848062614895,2025-02-16,Express
1048,clothing,240.4473108785588,2025-02-17,Express
1049,electronics,491.87733903847305,2025-02-18,Standard
1050,clothing,205.423976797831,2025-02-19,Overnight
1051,home,410.0516178774982,2025-02-19,Overnight
1052,clothing,401.1891112424301,2025-02-19,Express
1053,toys,83.85159654306044,2025-02-19,Overnight
1054,home,259.01740060295214,2025-02-19,Express
1055,electronics,350.9482753275321,2025-02-19,Standard
1056,toys,430.59581435872275,2025-02-19,Standard
1057,electronics,169.71986354892354,2025-02-19,Standard
1058,clothing,117.91811330711866,2025-02-19,Standard
1059,electronics,358.46327089462875,2025-02-19,Standard
1060,clothing,406.6555126084605,2025-02-19,Express
1061,home,180.8463337729474,2025-03-02,Standard
1062,electronics,57.12651003479617,2025-03-03,Express
1063,electronics,470.8563995999059,2025-03-04,Standard
1064,electronics,204.81029033288593,2025-03-05,Express
1065,electronics,263.6981617584653,2025-03-06,Standard
1066,home,420.4779518945907,2025-03-07,Standard
1067,electronics,341.0881573492476,2025-03-08,Standard
1068,clothing,370.2558984279784,2025-03-09,Express
1069,clothing,112.4450941614797,2025-03-10,Standard
1070,toys,275.30950717550724,2025-03-11,Unknown
1071,clothing,350.9343556790903,2025-03-12,Standard
1072,toys,121.98951068067684,2025-03-13,Standard
1073,clothing,95.72791427700874,2025-03-14,Unknown
1074,home,491.26248823142345,2025-03-15,Express
1075,toys,263.151586722797,2025-03-16,Standard
1076,clothing,137.8062956669004,2025-03-17,Express
1077,home,498.1643128813829,2025-03-18,Express
1078,electronics,483.0554821315089,2025-03-19,Express
1079,clothing,283.5637922674778,2025-03-20,Standard
1080,electronics,442.49180816277646,2025-03-21,Standard
1081,clothing,102.46648308727588,2025-03-22,Express
1082,electronics,146.64696277016913,2025-03-23,Overnight
1083,home,353.17533668665794,2025-03-24,Express
1084,home,424.8639596967699,2025-03-25,Standard
1085,home,429.5989030202653,2025-03-26,Express
1086,electronics,208.20898228987315,2025-03-27,Express
1087,clothing,445.0073483928703,2025-03-28,Standard
1088,home,426.9549398960812,2025-03-29,Standard
1089,home,468.4611471682643,2025-03-30,Express
1090,toys,394.8169190458324,2025-03-31,Standard
1091,electronics,337.80424480997203,2025-04-01,Standard
1092,electronics,294.5364445038628,2025-04-02,Standard
1093,clothing,192.41855561525412,2025-04-03,Standard
1094,electronics,470.6653868043114,2025-04-04,Standard
1095,electronics,487.0952800101055,2025-04-05,Unknown
1096,home,149.1212776213582,2025-04-06,Overnight
1097,clothing,159.6282915687528,2025-04-07,Standard
1098,home,247.95073925725103,2025-04-08,Unknown
1099,toys,229.7278300632612,2025-04-09,Express
1100,toys,497.28415667930216,2025-04-10,Standard
1101,home,96.20337381189924,2025-04-10,Standard
1102,toys,18.856928171605222,2025-04-10,Standard
1103,clothing,252.00792043988295,2025-04-10,Standard
1104,electronics,97.62312751845111,2025-04-10,Express
1105,home,189.56970444560136,2025-04-10,Express
1106,home,374.6435562977155,2025-04-10,Standard
1107,home,363.26056288354334,2025-04-10,Unknown
1108,electronics,160.94978800767072,2025-04-10,Express
1109,toys,275.84471297190066,2025-04-10,Standard
1110,home,259.3188976509924,2025-04-10,Unknown
1111,electronics,321.80298291108875,2025-04-21,Unknown
1112,electronics,132.72629111673623,2025-04-22,Unknown
1113,clothing,299.0367153046665,2025-04-23,Standard
1114,clothing,489.6575005547545,2025-04-24,Express
1115,clothing,248.503654950133,2025-04-25,Express
1116,home,453.9884059820915,2025-04-26,Express
1117,electronics,222.85323910011005,2025-04-27,Unknown
1118,home,181.53841977039107,2025-04-28,Express
