transaction_id,category,price,transaction_date,shipping_method
1001,Toys,5000000,2025-01-01 00:00:00,Standard
1002,clothing,61.6921873168326,2025-01-02 00:00:00,Standard
1003,Home,233.701939536626,2025-01-03 00:00:00,Express
1004,Toys,117.03581423624846,2025-01-04 00:00:00,Standard
1005,Clothing,214.08987445647944,2025-01-05 00:00:00,nan
1006,Home,442.80732687024545,2025-01-06 00:00:00,Standard
1007,Home,168.92906029258424,2025-01-07 00:00:00,Standard
1008,Toys,69.82309780332994,2025-01-08 00:00:00,Standard
1009,electronics,184.5859406577177,2025-01-09 00:00:00,Standard
1010,Clothing,454.3459363574195,2025-01-10 00:00:00,nan
1011,Toys,2000000,2025-01-11 00:00:00,Express
1012,Clothing,327.36815906526755,2025-01-12 00:00:00,Express
1013,Clothing,10.254984727704752,2025-01-13 00:00:00,Express
1014,Home,182.7587396037428,2025-01-14 00:00:00,Standard
1015,clothing,159.34281649743423,2025-01-15 00:00:00,Express
1016,Clothing,90.68136804004145,2025-01-16 00:00:00,Standard
1017,HOME,271.70381549396654,2025-01-17 00:00:00,Express
1018,Home,247.56668596590177,2025-01-18 00:00:00,Standard
1019,electronics,349.29365611623246,2025-01-19 00:00:00,Standard
1020,clothing,142.01204356127553,2025-01-20 00:00:00,Standard
1021,HOME,Unknown,2025-01-21 00:00:00,Standard
1022,HOME,Unknown,2025-01-22 00:00:00,Standard
1023,electronics,Unknown,2025-01-23 00:00:00,Standard
1024,clothing,Unknown,2025-01-24 00:00:00,nan
1025,Home,Unknown,2025-01-25 00:00:00,Standard
1026,Electronics,Unknown,2025-01-26 00:00:00,Standard
1027,clothing,Unknown,2025-01-27 00:00:00,Express
1028,electronics,Unknown,2025-01-28 00:00:00,Overnight
1029,HOME,Unknown,2025-01-29 00:00:00,Standard
1030,Home,Unknown,2025-01-30 00:00:00,Standard
1031,clothing,82.56259567716594,2025-01-31 00:00:00,Express
1032,Electronics,498.8928376739815,2025-02-01 00:00:00,Standard
1033,Electronics,140.72269699488965,2025-02-02 00:00:00,nan
1034,Clothing,488.54132835799993,2025-02-03 00:00:00,Overnight
1035,Clothing,211.40813652593332,2025-02-04 00:00:00,Standard
1036,Toys,26.19485912126871,2025-02-05 00:00:00,Standard
1037,electronics,179.08491153307466,2025-02-06 00:00:00,nan
1038,clothing,320.83215890366824,2025-02-07 00:00:00,Express
1039,clothing,343.5456712618357,2025-02-08 00:00:00,Express
1040,Toys,270.15794582539684,2025-02-09 00:00:00,Express
1041,HOME,Not Listed,2025-02-10 00:00:00,Express
1042,HOME,Not Listed,2025-02-11 00:00:00,nan
1043,Toys,Not Listed,2025-02-12 00:00:00,nan
1044,HOME,Not Listed,2025-02-13 00:00:00,Overnight
1045,Clothing,Not Listed,2025-02-14 00:00:00,Express
1046,clothing,128.65836975593868,2025-02-15 00:00:00,Overnight
1047,Toys,403.53848062614895,2025-02-16 00:00:00,Express
1048,clothing,240.44731087855882,2025-02-17 00:00:00,Express
1049,Electronics,491.87733903847305,2025-02-18 00:00:00,Standard
1050,Clothing,205.423976797831,2025-02-19 00:00:00,Overnight
1051,Home,410.05161787749813,Invalid Date,Overnight
1052,Clothing,401.18911124243004,Invalid Date,Express
1053,Toys,83.85159654306044,Invalid Date,Overnight
1054,Home,259.01740060295214,Invalid Date,Express
1055,Electronics,350.9482753275321,Invalid Date,Standard
1056,Toys,430.59581435872275,Invalid Date,Standard
1057,electronics,169.71986354892354,Invalid Date,Standard
1058,clothing,117.91811330711866,Invalid Date,Standard
1059,Electronics,358.46327089462875,Invalid Date,Standard
1060,clothing,406.6555126084605,Invalid Date,Express
1061,HOME,180.8463337729474,2025-03-02 00:00:00,Standard
